color, c, m, y, k, similar to Pantone
MOOTONE 509 M,8,29,32,13,Pantone 480c
MOOTONE 510 M,5,23,27,10,Pantone 481c
MOOTONE 511 M,4,17,21,7,Pantone 482c
MOOTONE 512 M,21,80,81,69,Pantone 483c
MOOTONE 513 M,8,92,100,33,Pantone 484c
MOOTONE 514 M,0,81,87,15,Pantone 485c
MOOTONE 515 M,0,37,47,9,Pantone 486c
MOOTONE 516 M,0,29,37,8,Pantone 487c
MOOTONE 517 M,0,21,29,7,Pantone 488c
MOOTONE 518 M,0,17,25,7,Pantone 489c
MOOTONE 519 M,26,85,85,72,Pantone 490c
MOOTONE 520 M,18,85,65,55,Pantone 491c
MOOTONE 521 M,11,85,60,48,Pantone 492c
MOOTONE 522 M,2,57,17,3,Pantone 493c
MOOTONE 523 M,0,30,24,9,Pantone 494c
MOOTONE 524 M,0,22,17,5,Pantone 495c
MOOTONE 525 M,0,18,14,5,Pantone 496c
MOOTONE 526 M,30,73,74,78,Pantone 497c
MOOTONE 527 M,23,78,77,65,Pantone 498c
MOOTONE 528 M,21,73,58,56,Pantone 499c
MOOTONE 529 M,6,50,21,14,Pantone 500c
MOOTONE 530 M,1,39,11,5,Pantone 501c
MOOTONE 531 M,0,19,16,10,Pantone 502c
MOOTONE 532 M,0,16,15,9,Pantone 503c
MOOTONE 533 M,36,84,58,85,Pantone 4975c
MOOTONE 534 M,22,74,38,47,Pantone 4985c
MOOTONE 535 M,15,62,30,38,Pantone 4995c
MOOTONE 536 M,10,52,25,29,Pantone 5005c
MOOTONE 537 M,5,35,14,10,Pantone 5015c
MOOTONE 538 M,3,30,13,7,Pantone 5025c
MOOTONE 539 M,1,18,8,3,Pantone 5035c
MOOTONE 540 M,29,82,44,73,Pantone 504c
MOOTONE 541 M,19,82,44,65,Pantone 505c
MOOTONE 542 M,19,86,38,57,Pantone 506c
MOOTONE 543 M,4,51,7,6,Pantone 507c
MOOTONE 544 M,1,41,4,2,Pantone 508c
MOOTONE 545 M,1,36,3,0,Pantone 509c
MOOTONE 546 M,0,19,14,8,Pantone 510c
MOOTONE 547 M,50,99,9,58,Pantone 511c
MOOTONE 548 M,52,99,3,18,Pantone 512c
MOOTONE 549 M,52,99,0,0,Pantone 513c
MOOTONE 550 M,16,55,0,0,Pantone 514c
MOOTONE 551 M,8,42,0,0,Pantone 515c
MOOTONE 552 M,4,31,0,0,Pantone 516c
MOOTONE 553 M,2,25,0,0,Pantone 517c
MOOTONE 554 M,51,91,21,70,Pantone 5115c
MOOTONE 555 M,42,81,11,49,Pantone 5125c
MOOTONE 556 M,36,68,10,31,Pantone 5135c
MOOTONE 557 M,25,51,5,20,Pantone 5145c
MOOTONE 558 M,13,31,2,8,Pantone 5155c
MOOTONE 559 M,7,19,2,3,Pantone 5165c
MOOTONE 560 M,5,16,2,3,Pantone 5175c
MOOTONE 561 M,55,86,20,63,Pantone 518c
MOOTONE 562 M,65,95,9,40,Pantone 519c
MOOTONE 563 M,67,95,4,16,Pantone 520c
MOOTONE 564 M,34,56,0,0,Pantone 521c
MOOTONE 565 M,24,44,0,0,Pantone 522c
MOOTONE 566 M,16,33,0,0,Pantone 523c
MOOTONE 567 M,10,23,0,0,Pantone 524c
MOOTONE 568 M,52,81,26,75,Pantone 5185c
MOOTONE 569 M,44,74,21,58,Pantone 5195c
MOOTONE 570 M,30,58,13,41,Pantone 5205c
MOOTONE 571 M,15,38,7,22,Pantone 5215c
MOOTONE 572 M,8,25,4,14,Pantone 5225c
MOOTONE 573 M,5,18,4,8,Pantone 5235c
MOOTONE 574 M,3,10,3,5,Pantone 5245c
MOOTONE 575 M,69,100,4,45,Pantone 525c
MOOTONE 576 M,73,100,0,0,Pantone 526c
MOOTONE 577 M,69,99,0,0,Pantone 527c
MOOTONE 578 M,35,58,0,0,Pantone 528c
MOOTONE 579 M,23,45,0,0,Pantone 529c
MOOTONE 580 M,15,33,0,0,Pantone 530c
MOOTONE 581 M,9,24,0,0,Pantone 531c
MOOTONE 582 M,97,100,15,72,Pantone 5255c
MOOTONE 583 M,86,83,9,45,Pantone 5265c
MOOTONE 584 M,74,68,7,31,Pantone 5275c
MOOTONE 585 M,44,40,5,15,Pantone 5285c
MOOTONE 586 M,26,22,2,9,Pantone 5295c
MOOTONE 587 M,18,15,2,6,Pantone 5305c
MOOTONE 588 M,10,7,1,4,Pantone 5315c
MOOTONE 589 M,88,76,30,82,Pantone 532c
MOOTONE 590 M,95,72,15,67,Pantone 533c
MOOTONE 591 M,95,74,7,44,Pantone 534c
MOOTONE 592 M,43,25,3,8,Pantone 535c
MOOTONE 593 M,34,17,2,7,Pantone 536c
MOOTONE 594 M,21,7,2,3,Pantone 537c
MOOTONE 595 M,14,4,1,3,Pantone 538c
MOOTONE 596 M,100,65,22,80,Pantone 539c
MOOTONE 597 M,100,57,12,66,Pantone 540c
MOOTONE 598 M,100,58,9,46,Pantone 541c
MOOTONE 599 M,60,19,1,4,Pantone 542c
MOOTONE 600 M,37,9,0,1,Pantone 543c
MOOTONE 601 M,27,4,1,1,Pantone 544c
MOOTONE 602 M,21,2,0,1,Pantone 545c
MOOTONE 603 M,100,71,39,90,Pantone 5395c
MOOTONE 604 M,68,35,17,40,Pantone 5405c
MOOTONE 605 M,56,24,11,34,Pantone 5415c
MOOTONE 606 M,45,16,9,24,Pantone 5425c
MOOTONE 607 M,31,8,6,11,Pantone 5435c
MOOTONE 608 M,21,5,4,8,Pantone 5445c
MOOTONE 609 M,17,4,6,4,Pantone 5455c
MOOTONE 610 M,100,41,35,87,Pantone 546c
MOOTONE 611 M,100,35,32,82,Pantone 547c
MOOTONE 612 M,100,21,28,76,Pantone 548c
MOOTONE 613 M,56,8,9,21,Pantone 549c
MOOTONE 614 M,42,7,8,8,Pantone 550c
MOOTONE 615 M,35,3,8,7,Pantone 551c
MOOTONE 616 M,24,3,7,2,Pantone 552c
MOOTONE 617 M,100,45,38,90,Pantone 5463c
MOOTONE 618 M,86,20,32,51,Pantone 5473c
MOOTONE 619 M,65,11,25,27,Pantone 5483c
MOOTONE 620 M,47,4,16,16,Pantone 5493c
MOOTONE 621 M,39,2,14,10,Pantone 5503c
MOOTONE 622 M,29,1,10,5,Pantone 5513c
MOOTONE 623 M,22,1,9,2,Pantone 5523c
MOOTONE 624 M,86,33,57,92,Pantone 5467c
MOOTONE 625 M,66,24,43,66,Pantone 5477c
MOOTONE 626 M,51,16,35,50,Pantone 5487c
MOOTONE 627 M,38,9,23,32,Pantone 5497c
MOOTONE 628 M,27,5,17,18,Pantone 5507c
MOOTONE 629 M,20,4,13,10,Pantone 5517c
MOOTONE 630 M,12,2,9,8,Pantone 5527c
MOOTONE 631 M,82,30,65,76,Pantone 553c
MOOTONE 632 M,84,22,77,60,Pantone 554c
MOOTONE 633 M,80,17,76,51,Pantone 555c
MOOTONE 634 M,54,8,47,14,Pantone 556c
MOOTONE 635 M,44,4,37,10,Pantone 557c
MOOTONE 636 M,36,3,28,4,Pantone 558c
MOOTONE 637 M,29,2,24,3,Pantone 559c
MOOTONE 638 M,79,34,62,84,Pantone 5535c
MOOTONE 639 M,62,19,45,50,Pantone 5545c
MOOTONE 640 M,51,12,39,37,Pantone 5555c
MOOTONE 641 M,44,12,34,24,Pantone 5565c
MOOTONE 642 M,37,9,28,13,Pantone 5575c
MOOTONE 643 M,23,3,19,8,Pantone 5585c
MOOTONE 644 M,20,3,17,4,Pantone 5595c
MOOTONE 645 M,79,30,63,80,Pantone 560c
MOOTONE 646 M,84,20,58,54,Pantone 561c
MOOTONE 647 M,85,12,52,36,Pantone 562c
MOOTONE 648 M,54,0,29,2,Pantone 563c
MOOTONE 649 M,43,0,23,0,Pantone 564c
MOOTONE 650 M,30,0,18,0,Pantone 565c
MOOTONE 651 M,17,0,12,0,Pantone 566c
MOOTONE 652 M,82,36,83,90,Pantone 5605c
MOOTONE 653 M,52,16,52,54,Pantone 5615c
MOOTONE 654 M,46,18,44,37,Pantone 5625c
MOOTONE 655 M,34,10,33,20,Pantone 5635c
MOOTONE 656 M,26,6,24,12,Pantone 5645c
MOOTONE 657 M,20,4,20,9,Pantone 5655c
MOOTONE 658 M,14,2,15,7,Pantone 5665c
MOOTONE 659 M,88,33,69,72,Pantone 567c
MOOTONE 660 M,90,14,62,43,Pantone 568c
MOOTONE 661 M,90,9,60,15,Pantone 569c
MOOTONE 662 M,57,0,36,0,Pantone 570c
MOOTONE 663 M,40,0,25,0,Pantone 571c
MOOTONE 664 M,27,0,18,0,Pantone 572c
MOOTONE 665 M,20,0,14,0,Pantone 573c
MOOTONE 666 M,56,22,98,72,Pantone 574c
MOOTONE 667 M,55,9,95,45,Pantone 575c
MOOTONE 668 M,54,5,94,24,Pantone 576c
MOOTONE 669 M,35,2,58,0,Pantone 577c
MOOTONE 670 M,27,0,48,0,Pantone 578c
MOOTONE 671 M,24,0,43,0,Pantone 579c
MOOTONE 672 M,20,0,36,0,Pantone 580c
MOOTONE 673 M,54,24,86,73,Pantone 5743c
MOOTONE 674 M,42,16,80,58,Pantone 5753c
MOOTONE 675 M,37,13,71,50,Pantone 5763c
MOOTONE 676 M,29,10,52,32,Pantone 5773c
MOOTONE 677 M,24,8,41,19,Pantone 5783c
MOOTONE 678 M,19,6,34,12,Pantone 5793c
MOOTONE 679 M,12,2,24,9,Pantone 5803c
MOOTONE 680 M,50,27,98,76,Pantone 5747c
MOOTONE 681 M,34,12,91,54,Pantone 5757c
MOOTONE 682 M,31,11,76,35,Pantone 5767c
MOOTONE 683 M,26,9,56,20,Pantone 5777c
MOOTONE 684 M,18,4,41,10,Pantone 5787c
MOOTONE 685 M,15,4,37,9,Pantone 5797c
MOOTONE 686 M,11,3,25,3,Pantone 5807c
MOOTONE 687 M,25,19,100,70,Pantone 581c
MOOTONE 688 M,25,9,100,39,Pantone 582c
MOOTONE 689 M,26,1,100,10,Pantone 583c
MOOTONE 690 M,21,0,89,0,Pantone 584c
MOOTONE 691 M,14,0,68,0,Pantone 585c
MOOTONE 692 M,10,0,58,0,Pantone 586c
MOOTONE 693 M,9,0,50,0,Pantone 587c
MOOTONE 694 M,35,30,100,75,Pantone 5815c
MOOTONE 695 M,22,15,86,47,Pantone 5825c
MOOTONE 696 M,18,11,70,32,Pantone 5835c
MOOTONE 697 M,18,10,60,23,Pantone 5845c
MOOTONE 698 M,12,5,44,15,Pantone 5855c
MOOTONE 699 M,9,3,37,10,Pantone 5865c
MOOTONE 700 M,9,4,31,5,Pantone 5875c
MOOTONE 701 M,3,3,6,7,Pantone Warm Gray 1c
MOOTONE 702 M,6,7,10,11,Pantone Warm Gray 2c
MOOTONE 703 M,9,11,13,20,Pantone Warm Gray 3c
MOOTONE 704 M,11,13,15,27,Pantone Warm Gray 4c
MOOTONE 705 M,11,13,16,32,Pantone Warm Gray 5c
MOOTONE 706 M,14,19,21,39,Pantone Warm Gray 6c
MOOTONE 707 M,16,23,23,44,Pantone Warm Gray 7c
MOOTONE 708 M,17,24,25,49,Pantone Warm Gray 8c
MOOTONE 709 M,23,32,34,51,Pantone Warm Gray 9c
MOOTONE 710 M,24,34,35,60,Pantone Warm Gray 10c
MOOTONE 711 M,26,36,38,68,Pantone Warm Gray 11c
MOOTONE 712 M,28,38,40,70,
MOOTONE 713 M,28,40,42,72,
MOOTONE 714 M,30,42,45,75,
MOOTONE 715 M,4,2,4,8,Pantone Cool Gray 1c
MOOTONE 716 M,5,3,5,11,Pantone Cool Gray 2c
MOOTONE 717 M,8,5,7,16,Pantone Cool Gray 3c
MOOTONE 718 M,12,8,9,23,Pantone Cool Gray 4c
MOOTONE 719 M,13,9,10,27,Pantone Cool Gray 5c
MOOTONE 720 M,16,11,11,27,Pantone Cool Gray 6c
MOOTONE 721 M,20,14,12,40,Pantone Cool Gray 7c
MOOTONE 722 M,23,16,13,46,Pantone Cool Gray 8c
MOOTONE 723 M,30,22,17,57,Pantone Cool Gray 9c
MOOTONE 724 M,40,30,20,66,Pantone Cool Gray 10c
MOOTONE 725 M,44,34,22,77,Pantone Cool Gray 11c
MOOTONE 726 M,48,38,24,79,
MOOTONE 727 M,52,42,28,82,
MOOTONE 728 M,56,46,30,85,
MOOTONE 729 M,100,0,0,0,
MOOTONE 730 M,0,100,0,0,
MOOTONE 731 M,0,0,100,0,
MOOTONE 732 M,0,100,100,0,
MOOTONE 733 M,100,0,100,0,
MOOTONE 734 M,100,100,0,0,
MOOTONE 735 M,100,100,100,0,
MOOTONE 736 M,0,0,0,100,
MOOTONE 737 M,10,10,10,100,
MOOTONE 738 M,20,20,20,100,
MOOTONE 739 M,30,30,30,100,
MOOTONE 740 M,40,40,40,100,
MOOTONE 741 M,50,50,50,100,
MOOTONE 742 M,100,100,100,100,
