color, c, m, y, k, similar to Pantone
MOOTONE 117 M,2,100,85,6,Pantone 186c
MOOTONE 118 M,7,100,82,26,Pantone 187c
MOOTONE 119 M,16,100,65,58,Pantone 188c
MOOTONE 120 M,0,34,24,3,Pantone 189c
MOOTONE 121 M,0,52,38,4,Pantone 190c
MOOTONE 122 M,0,72,54,6,Pantone 191c
MOOTONE 123 M,0,100,69,11,Pantone 192c
MOOTONE 124 M,2,99,62,11,Pantone 193c
MOOTONE 125 M,8,100,55,37,Pantone 194c
MOOTONE 126 M,19,90,50,55,Pantone 195c
MOOTONE 127 M,0,16,13,7,Pantone 196c
MOOTONE 128 M,0,33,25,9,Pantone 197c
MOOTONE 129 M,0,69,57,13,Pantone 198c
MOOTONE 130 M,0,100,77,16,Pantone 199c
MOOTONE 131 M,3,100,70,12,Pantone 200c
MOOTONE 132 M,7,100,68,32,Pantone 201c
MOOTONE 133 M,9,100,64,48,Pantone 202c
MOOTONE 134 M,0,24,14,7,Pantone 203c
MOOTONE 135 M,0,44,27,9,Pantone 204c
MOOTONE 136 M,0,69,45,12,Pantone 205c
MOOTONE 137 M,0,100,73,19,Pantone 206c
MOOTONE 138 M,5,100,48,22,Pantone 207c
MOOTONE 139 M,15,100,37,45,Pantone 208c
MOOTONE 140 M,20,97,40,58,Pantone 209c
MOOTONE 141 M,0,36,19,2,Pantone 210c
MOOTONE 142 M,0,49,26,4,Pantone 211c
MOOTONE 143 M,0,68,37,6,Pantone 212c
MOOTONE 144 M,0,88,47,11,Pantone 213c
MOOTONE 145 M,0,93,49,19,Pantone 214c
MOOTONE 146 M,6,100,26,24,Pantone 215c
MOOTONE 147 M,13,96,26,52,Pantone 216c
MOOTONE 148 M,1,32,0,0,Pantone 217c
MOOTONE 149 M,2,63,0,0,Pantone 218c
MOOTONE 150 M,1,92,4,0,Pantone 219c
MOOTONE 151 M,0,100,57,19,Pantone Rubine Red c
MOOTONE 152 M,5,100,25,24,Pantone 220c
MOOTONE 153 M,9,100,26,38,Pantone 221c
MOOTONE 154 M,20,100,22,61,Pantone 222c
MOOTONE 155 M,1,50,0,0,Pantone 223c
MOOTONE 156 M,3,70,0,0,Pantone 224c
MOOTONE 157 M,4,88,0,0,Pantone 225c
MOOTONE 158 M,0,100,47,18,Pantone 226c
MOOTONE 159 M,7,100,10,21,Pantone 227c
MOOTONE 160 M,16,100,14,42,Pantone 228c
MOOTONE 161 M,26,100,19,61,Pantone 229c
MOOTONE 162 M,1,41,0,0,Pantone 230c
MOOTONE 163 M,3,60,0,0,Pantone 231c
MOOTONE 164 M,6,70,0,0,Pantone 232c
MOOTONE 165 M,12,100,0,0,Pantone 233c
MOOTONE 166 M,9,87,0,0,Pantone Rhodamine Red c
MOOTONE 167 M,18,100,6,18,Pantone 234c
