color, c, m, y, k, r, g, b
MOOTONE 128 M,0,33,25,9,232,156,174
MOOTONE 129 M,0,69,57,13,223,70,97
MOOTONE 130 M,0,100,77,16,213,0,50
MOOTONE 131 M,3,100,70,12,186,12,47
MOOTONE 132 M,7,100,68,32,157,34,53
MOOTONE 133 M,9,100,64,48,134,38,51
MOOTONE 134 M,0,24,14,7,236,179,203
MOOTONE 135 M,0,44,27,9,231,130,169
MOOTONE 136 M,0,69,45,12,224,69,123
MOOTONE 137 M,0,100,73,19,206,0,55
MOOTONE 138 M,5,100,48,22,165,0,52
MOOTONE 139 M,15,100,37,45,134,31,65
MOOTONE 140 M,20,97,40,58,111,38,61
MOOTONE 141 M,0,36,19,2,249,159,201
MOOTONE 142 M,0,49,26,4,245,126,182
MOOTONE 143 M,0,68,37,6,240,78,152
MOOTONE 144 M,0,88,47,11,227,28,121
MOOTONE 145 M,0,93,49,19,206,15,105
MOOTONE 146 M,6,100,26,24,172,20,90
MOOTONE 147 M,13,96,26,52,125,34,72
MOOTONE 148 M,1,32,0,0,234,190,219
MOOTONE 149 M,2,63,0,0,229,109,177
MOOTONE 150 M,1,92,4,0,218,24,132
MOOTONE 151 M,0,100,57,19,206,0,88
MOOTONE 152 M,5,100,25,24,165,0,80
MOOTONE 153 M,9,100,26,38,145,0,72
MOOTONE 154 M,20,100,22,61,108,29,69
MOOTONE 155 M,1,50,0,0,239,149,207
MOOTONE 156 M,3,70,0,0,235,111,189
MOOTONE 157 M,4,88,0,0,223,25,149
MOOTONE 158 M,0,100,47,18,208,0,111
MOOTONE 159 M,7,100,10,21,170,0,97
MOOTONE 160 M,16,100,14,42,137,12,88
MOOTONE 161 M,26,100,19,61,103,33,70
MOOTONE 162 M,1,41,0,0,244,166,215
MOOTONE 163 M,3,60,0,0,242,119,198
MOOTONE 164 M,6,70,0,0,233,60,172
MOOTONE 165 M,12,100,0,0,198,0,126
MOOTONE 166 M,9,87,0,0,225,0,152
MOOTONE 167 M,18,100,6,18,162,0,103
MOOTONE 168 M,20,100,11,41,132,11,85
MOOTONE 169 M,3,37,0,0,241,167,220
MOOTONE 170 M,6,52,0,0,236,134,208
MOOTONE 171 M,12,74,0,0,228,93,191
MOOTONE 172 M,16,82,0,0,219,62,177
MOOTONE 173 M,20,89,0,0,197,41,155
MOOTONE 174 M,30,100,2,2,175,22,133
MOOTONE 175 M,32,100,11,41,128,34,95
MOOTONE 176 M,4,32,0,0,234,184,228
MOOTONE 177 M,9,45,0,0,229,155,220
MOOTONE 178 M,16,56,0,0,221,127,211
MOOTONE 179 M,31,88,0,0,199,36,177
MOOTONE 180 M,35,95,0,0,187,22,163
MOOTONE 181 M,42,100,0,0,165,24,144
MOOTONE 182 M,42,95,10,31,128,39,108
MOOTONE 183 M,7,28,0,0,231,186,228
MOOTONE 184 M,17,43,0,0,221,156,223
MOOTONE 185 M,27,67,0,0,201,100,207
MOOTONE 186 M,40,90,0,0,187,41,187
MOOTONE 187 M,42,91,0,0,173,26,172
MOOTONE 188 M,48,96,0,0,152,29,151
MOOTONE 189 M,52,96,10,24,114,36,108
MOOTONE 190 M,9,22,0,0,214,191,221
MOOTONE 191 M,18,36,0,0,198,161,207
MOOTONE 192 M,51,79,0,0,140,71,153
MOOTONE 193 M,67,100,4,5,109,32,119
MOOTONE 194 M,66,100,8,27,100,38,103
MOOTONE 195 M,62,100,9,44,93,40,95
MOOTONE 196 M,58,92,12,54,81,40,79
MOOTONE 197 M,22,39,0,0,203,163,216
MOOTONE 198 M,35,52,0,0,184,132,203
MOOTONE 199 M,47,72,0,0,160,94,181
MOOTONE 200 M,66,92,0,0,132,50,155
MOOTONE 201 M,72,99,0,3,112,32,130
MOOTONE 202 M,74,99,5,11,103,30,117
MOOTONE 203 M,75,100,8,26,95,33,103
MOOTONE 204 M,29,45,0,0,193,160,218
MOOTONE 205 M,40,54,0,0,167,123,202
MOOTONE 206 M,58,76,0,0,130,70,175
MOOTONE 207 M,80,99,0,0,92,6,140
MOOTONE 208 M,83,99,0,2,80,7,120
MOOTONE 209 M,84,99,0,12,71,10,104
MOOTONE 210 M,85,100,6,38,60,16,83
MOOTONE 211 M,10,17,0,0,215,198,230
MOOTONE 212 M,26,37,0,0,193,167,226
MOOTONE 213 M,52,66,0,0,144,99,205
MOOTONE 214 M,76,90,0,0,117,59,189
MOOTONE 215 M,82,97,0,0,95,37,159
MOOTONE 216 M,82,98,0,12,88,44,131
MOOTONE 217 M,80,98,5,27,81,45,109
MOOTONE 218 M,24,29,0,0,197,180,227
MOOTONE 219 M,40,44,0,0,173,150,220
MOOTONE 220 M,54,61,0,0,150,120,211
MOOTONE 221 M,70,76,0,0,125,85,199
MOOTONE 222 M,90,99,0,0,68,0,153
MOOTONE 223 M,90,99,0,8,51,0,114
MOOTONE 224 M,91,100,8,58,46,26,71
MOOTONE 225 M,29,25,0,0,180,181,223
MOOTONE 226 M,49,44,0,0,149,149,210
MOOTONE 227 M,61,56,0,0,116,116,193
MOOTONE 228 M,100,100,0,22,36,19,95
MOOTONE 229 M,100,100,7,38,33,21,81
MOOTONE 230 M,100,100,7,56,32,23,71
MOOTONE 231 M,100,100,10,79,34,28,53
MOOTONE 232 M,40,36,0,0,167,164,224
MOOTONE 233 M,56,52,0,0,139,132,215
MOOTONE 234 M,76,76,0,0,104,91,199
MOOTONE 235 M,97,100,0,4,46,0,139
MOOTONE 236 M,97,100,0,18,40,0,113
MOOTONE 237 M,97,100,0,30,37,14,98
MOOTONE 238 M,100,100,9,57,32,21,71
MOOTONE 239 M,35,9,0,0,171,202,233
MOOTONE 240 M,45,14,0,0,139,184,232
MOOTONE 241 M,68,34,0,0,65,143,222
MOOTONE 242 M,100,89,0,0,0,20,137
MOOTONE 243 M,100,85,5,22,1,33,105
MOOTONE 244 M,100,85,5,36,0,32,91
MOOTONE 245 M,100,90,13,68,4,30,66
MOOTONE 246 M,42,9,0,0,146,193,233
MOOTONE 247 M,58,17,0,0,108,172,228
MOOTONE 248 M,90,48,0,0,0,114,206
MOOTONE 249 M,100,75,0,0,0,51,160
MOOTONE 250 M,100,75,2,18,0,48,135
MOOTONE 251 M,100,80,6,32,0,45,114
MOOTONE 252 M,100,76,12,70,12,35,64
MOOTONE 253 M,23,0,1,0,185,217,235
MOOTONE 254 M,38,4,0,0,155,203,235
MOOTONE 255 M,58,11,0,0,105,179,231
MOOTONE 256 M,100,69,0,4,0,61,165
MOOTONE 257 M,100,69,7,30,0,47,108
MOOTONE 258 M,100,69,8,54,0,40,85
MOOTONE 259 M,100,73,28,86,4,28,44
MOOTONE 260 M,52,0,1,0,113,197,232
MOOTONE 261 M,67,2,0,0,65,182,230
MOOTONE 262 M,86,8,0,0,0,163,224
MOOTONE 263 M,99,50,0,0,0,94,184
MOOTONE 264 M,100,52,4,19,0,75,135
MOOTONE 265 M,100,48,12,58,0,59,92
MOOTONE 266 M,100,47,22,82,0,42,58
MOOTONE 267 M,34,0,6,0,154,219,232
MOOTONE 268 M,54,0,6,0,89,203,232
MOOTONE 269 M,75,0,5,0,0,181,226
MOOTONE 270 M,100,13,1,2,0,133,202
MOOTONE 271 M,100,22,2,18,0,107,166
MOOTONE 272 M,100,18,8,50,0,88,124
MOOTONE 273 M,99,27,22,80,0,59,73
MOOTONE 274 M,48,0,9,0,106,209,227
MOOTONE 275 M,68,0,13,0,5,195,222
MOOTONE 276 M,88,0,11,0,0,169,206
MOOTONE 277 M,100,0,11,2,0,146,188
MOOTONE 278 M,100,5,14,17,0,127,163
MOOTONE 279 M,100,12,21,44,0,103,127
MOOTONE 280 M,97,21,33,73,0,72,81
