color, c, m, y, k, r, g, b
MOOTONE 558 M,13,31,2,8,191,165,184
MOOTONE 559 M,7,19,2,3,211,192,205
MOOTONE 560 M,5,16,2,3,216,200,209
MOOTONE 561 M,55,86,20,63,75,48,72
MOOTONE 562 M,65,95,9,40,89,49,95
MOOTONE 563 M,67,95,4,16,100,47,108
MOOTONE 564 M,34,56,0,0,165,127,178
MOOTONE 565 M,24,44,0,0,186,156,197
MOOTONE 566 M,16,33,0,0,201,177,208
MOOTONE 567 M,10,23,0,0,213,194,216
MOOTONE 568 M,52,81,26,75,74,48,65
MOOTONE 569 M,44,74,21,58,102,67,90
MOOTONE 570 M,30,58,13,41,134,100,122
MOOTONE 571 M,15,38,7,22,175,149,166
MOOTONE 572 M,8,25,4,14,198,176,188
MOOTONE 573 M,5,18,4,8,208,190,199
MOOTONE 574 M,3,10,3,5,219,205,211
MOOTONE 575 M,69,100,4,45,87,44,95
MOOTONE 576 M,73,100,0,0,112,47,138
MOOTONE 577 M,69,99,0,0,128,49,167
MOOTONE 578 M,35,58,0,0,181,128,209
MOOTONE 579 M,23,45,0,0,202,162,221
MOOTONE 580 M,15,33,0,0,215,185,228
MOOTONE 581 M,9,24,0,0,223,200,231
MOOTONE 582 M,97,100,15,72,30,26,52
MOOTONE 583 M,86,83,9,45,64,58,96
MOOTONE 584 M,74,68,7,31,89,84,120
MOOTONE 585 M,44,40,5,15,141,137,165
MOOTONE 586 M,26,22,2,9,179,176,196
MOOTONE 587 M,18,15,2,6,198,196,210
MOOTONE 588 M,10,7,1,4,216,215,223
MOOTONE 589 M,88,76,30,82,28,31,42
MOOTONE 590 M,95,72,15,67,31,42,68
MOOTONE 591 M,95,74,7,44,27,54,93
MOOTONE 592 M,43,25,3,8,142,159,188
MOOTONE 593 M,34,17,2,7,162,178,200
MOOTONE 594 M,21,7,2,3,187,199,214
MOOTONE 595 M,14,4,1,3,197,207,218
MOOTONE 596 M,100,65,22,80,0,38,58
MOOTONE 597 M,100,57,12,66,0,48,87
MOOTONE 598 M,100,58,9,46,0,60,113
MOOTONE 599 M,60,19,1,4,123,175,212
MOOTONE 600 M,37,9,0,1,164,200,225
MOOTONE 601 M,27,4,1,1,189,214,230
MOOTONE 602 M,21,2,0,1,198,218,231
MOOTONE 603 M,100,71,39,90,8,31,44
MOOTONE 604 M,68,35,17,40,79,117,139
MOOTONE 605 M,56,24,11,34,91,127,149
MOOTONE 606 M,45,16,9,24,122,153,172
MOOTONE 607 M,31,8,6,11,166,187,200
MOOTONE 608 M,21,5,4,8,183,201,211
MOOTONE 609 M,17,4,6,4,191,206,214
MOOTONE 610 M,100,41,35,87,7,43,49
MOOTONE 611 M,100,35,32,82,0,49,60
MOOTONE 612 M,100,21,28,76,0,61,76
MOOTONE 613 M,56,8,9,21,107,164,184
MOOTONE 614 M,42,7,8,8,141,185,202
MOOTONE 615 M,35,3,8,7,163,199,210
MOOTONE 616 M,24,3,7,2,185,211,220
MOOTONE 617 M,100,45,38,90,7,39,45
MOOTONE 618 M,86,20,32,51,17,94,103
MOOTONE 619 M,65,11,25,27,79,134,142
MOOTONE 620 M,47,4,16,16,127,169,174
MOOTONE 621 M,39,2,14,10,148,183,187
MOOTONE 622 M,29,1,10,5,171,199,202
MOOTONE 623 M,22,1,9,2,182,207,208
MOOTONE 624 M,86,33,57,92,24,51,47
MOOTONE 625 M,66,24,43,66,62,93,88
MOOTONE 626 M,51,16,35,50,93,121,117
MOOTONE 627 M,38,9,23,32,130,153,149
MOOTONE 628 M,27,5,17,18,157,176,172
MOOTONE 629 M,20,4,13,10,177,192,188
MOOTONE 630 M,12,2,9,8,188,201,197
MOOTONE 631 M,82,30,65,76,40,71,52
MOOTONE 632 M,84,22,77,60,32,92,64
MOOTONE 633 M,80,17,76,51,40,114,79
MOOTONE 634 M,54,8,47,14,111,162,135
MOOTONE 635 M,44,4,37,10,133,176,154
MOOTONE 636 M,36,3,28,4,154,190,170
MOOTONE 637 M,29,2,24,3,173,202,184
MOOTONE 638 M,79,34,62,84,24,48,40
MOOTONE 639 M,62,19,45,50,67,105,91
MOOTONE 640 M,51,12,39,37,92,127,113
MOOTONE 641 M,44,12,34,24,127,156,144
MOOTONE 642 M,37,9,28,13,146,172,160
MOOTONE 643 M,23,3,19,8,167,189,177
MOOTONE 644 M,20,3,17,4,191,206,194
MOOTONE 645 M,79,30,63,80,29,60,52
MOOTONE 646 M,84,20,58,54,0,89,76
MOOTONE 647 M,85,12,52,36,0,111,98
MOOTONE 648 M,54,0,29,2,107,187,174
MOOTONE 649 M,43,0,23,0,134,200,188
MOOTONE 650 M,30,0,18,0,161,214,202
MOOTONE 651 M,17,0,12,0,185,220,210
MOOTONE 652 M,82,36,83,90,34,55,43
MOOTONE 653 M,52,16,52,54,94,116,97
MOOTONE 654 M,46,18,44,37,112,133,115
MOOTONE 655 M,34,10,33,20,148,165,150
MOOTONE 656 M,26,6,24,12,163,178,164
MOOTONE 657 M,20,4,20,9,176,189,176
MOOTONE 658 M,14,2,15,7,186,197,185
MOOTONE 659 M,88,33,69,72,23,63,53
MOOTONE 660 M,90,14,62,43,0,108,91
MOOTONE 661 M,90,9,60,15,0,129,109
MOOTONE 662 M,57,0,36,0,107,202,186
MOOTONE 663 M,40,0,25,0,152,219,206
MOOTONE 664 M,27,0,18,0,165,223,211
MOOTONE 665 M,20,0,14,0,181,227,216
MOOTONE 666 M,56,22,98,72,78,91,49
MOOTONE 667 M,55,9,95,45,103,130,58
MOOTONE 668 M,54,5,94,24,120,157,74
MOOTONE 669 M,35,2,58,0,169,196,127
MOOTONE 670 M,27,0,48,0,183,206,149
MOOTONE 671 M,24,0,43,0,188,209,155
MOOTONE 672 M,20,0,36,0,196,214,164
MOOTONE 673 M,54,24,86,73,62,72,39
MOOTONE 674 M,42,16,80,58,94,103,56
MOOTONE 675 M,37,13,71,50,115,123,76
MOOTONE 676 M,29,10,52,32,137,144,100
MOOTONE 677 M,24,8,41,19,163,170,131
MOOTONE 678 M,19,6,34,12,179,185,149
MOOTONE 679 M,12,2,24,9,195,198,168
MOOTONE 680 M,50,27,98,76,61,68,30
MOOTONE 681 M,34,12,91,54,109,113,46
MOOTONE 682 M,31,11,76,35,138,141,74
MOOTONE 683 M,26,9,56,20,162,165,105
MOOTONE 684 M,18,4,41,10,186,189,139
MOOTONE 685 M,15,4,37,9,198,200,155
MOOTONE 686 M,11,3,25,3,208,209,171
MOOTONE 687 M,25,19,100,70,98,93,32
MOOTONE 688 M,25,9,100,39,142,140,19
MOOTONE 689 M,26,1,100,10,183,191,16
MOOTONE 690 M,21,0,89,0,210,215,85
MOOTONE 691 M,14,0,68,0,219,222,112
MOOTONE 692 M,10,0,58,0,224,226,124
MOOTONE 693 M,9,0,50,0,227,228,141
MOOTONE 694 M,35,30,100,75,85,80,37
MOOTONE 695 M,22,15,86,47,137,129,61
MOOTONE 696 M,18,11,70,32,160,153,88
MOOTONE 697 M,18,10,60,23,175,169,110
MOOTONE 698 M,12,5,44,15,192,187,135
MOOTONE 699 M,9,3,37,10,203,199,147
MOOTONE 700 M,9,4,31,5,210,206,158
MOOTONE 701 M,3,3,6,7,215,210,203
MOOTONE 702 M,6,7,10,11,203,196,188
MOOTONE 703 M,9,11,13,20,191,184,175
MOOTONE 704 M,11,13,15,27,182,173,165
MOOTONE 705 M,11,13,16,32,172,163,154
MOOTONE 706 M,14,19,21,39,165,156,148
MOOTONE 707 M,16,23,23,44,150,140,131
MOOTONE 708 M,17,24,25,49,140,130,121
MOOTONE 709 M,23,32,34,51,131,120,111
MOOTONE 710 M,24,34,35,60,121,110,101
MOOTONE 711 M,26,36,38,68,110,98,89
MOOTONE 712 M,28,38,40,70,0,0,0
MOOTONE 713 M,28,40,42,72,0,0,0
MOOTONE 714 M,30,42,45,75,0,0,0
MOOTONE 715 M,4,2,4,8,217,217,214
MOOTONE 716 M,5,3,5,11,208,208,206
MOOTONE 717 M,8,5,7,16,200,201,199
MOOTONE 718 M,12,8,9,23,187,188,188
MOOTONE 719 M,13,9,10,27,177,179,179
MOOTONE 720 M,16,11,11,27,167,168,170
MOOTONE 721 M,20,14,12,40,151,153,155
MOOTONE 722 M,23,16,13,46,136,139,141
MOOTONE 723 M,30,22,17,57,117,120,123
MOOTONE 724 M,40,30,20,66,99,102,106
MOOTONE 725 M,44,34,22,77,83,86,90
MOOTONE 726 M,48,38,24,79,0,0,0
MOOTONE 727 M,52,42,28,82,0,0,0
MOOTONE 728 M,56,46,30,85,0,0,0
MOOTONE 729 M,100,0,0,0,0,0,0
MOOTONE 730 M,0,100,0,0,0,0,0
MOOTONE 731 M,0,0,100,0,0,0,0
MOOTONE 732 M,0,100,100,0,0,0,0
MOOTONE 733 M,100,0,100,0,0,0,0
MOOTONE 734 M,100,100,0,0,0,0,0
MOOTONE 735 M,100,100,100,0,0,0,0
MOOTONE 736 M,0,0,0,100,0,0,0
MOOTONE 737 M,10,10,10,100,0,0,0
MOOTONE 738 M,20,20,20,100,0,0,0
MOOTONE 739 M,30,30,30,100,0,0,0
MOOTONE 740 M,40,40,40,100,0,0,0
MOOTONE 741 M,50,50,50,100,0,0,0
MOOTONE 742 M,100,100,100,100,0,0,0
